package,group,action,status,message
com.google.android.gm,harden,disable,ok,
com.google.android.apps.maps,harden,disable,ok,
com.google.android.apps.photos,harden,disable,ok,
com.google.android.youtube,harden,disable,ok,
com.google.android.apps.youtube.music,harden,disable,ok,
com.android.chrome,harden,disable,ok,
com.google.android.apps.docs,harden,disable,ok,
com.google.android.videos,harden,disable,ok,
com.google.android.googlequicksearchbox,harden,disable,ok,
com.android.hotwordenrollment.okgoogle,harden,disable,ok,
com.android.hotwordenrollment.xgoogle,harden,disable,ok,
com.google.android.apps.bard,harden,disable,ok,
com.google.android.apps.turbo,harden,disable,ok,
com.google.ar.core,harden,disable,ok,
com.google.android.projection.gearhead,harden,disable,ok,
com.samsung.android.app.tips,harden,disable,ok,
com.samsung.android.app.spage,harden,disable,ok,
com.samsung.sree,harden,disable,ok,
com.samsung.android.game.gamehome,harden,disable,ok,
com.samsung.android.game.gametools,harden,disable,ok,
com.samsung.android.game.gos,harden,disable,ok,
com.samsung.android.aremoji,harden,disable,ok,
com.samsung.android.aremojieditor,harden,disable,ok,
com.sec.android.app.kidshome,harden,disable,ok,
com.samsung.android.kidsinstaller,harden,disable,ok,
com.sec.android.app.quicktool,harden,disable,ok,
com.samsung.mediasearch,harden,disable,ok,
com.samsung.ecomm.global.gbr,harden,disable,ok,
com.samsung.android.app.parentalcare,harden,disable,ok,
com.samsung.android.app.readingglass,harden,disable,ok,
com.samsung.android.app.routines,harden,disable,ok,
com.samsung.android.smartmirroring,harden,disable,ok,
com.samsung.android.aicore,harden,disable,ok,
com.samsung.android.bixby.agent,harden,disable,ok,
com.samsung.android.bixby.wakeup,harden,disable,ok,
com.samsung.android.bixbyvision.framework,harden,disable,ok,
com.samsung.android.visionintelligence,harden,disable,ok,
com.samsung.android.intellivoiceservice,harden,disable,ok,
com.facebook.katana,harden,disable,ok,
com.facebook.appmanager,harden,disable,ok,
com.facebook.services,harden,disable,ok,
com.facebook.system,harden,disable,ok,
com.linkedin.android,harden,disable,ok,
com.netflix.mediaclient,harden,disable,ok,
com.microsoft.skydrive,harden,disable,ok,
com.microsoft.office.officehubrow,harden,disable,ok,
com.microsoft.office.outlook,harden,disable,ok,
com.spotify.music,harden,disable,ok,
com.hiya.star,harden,disable,ok,
com.sec.android.diagmonagent,harden,disable,ok,
com.samsung.android.dqagent,harden,disable,ok,
